id,name,company,city,salary,skills,url
128541838,Инженер данных (Data Engineer),РБК,Москва,,"Опыт высоконагруженных проектов/крупных систем. Опыт платформенных проектов/продуктов. Опыт участия в продуктовой разработке с кросс-функциональными командами, с тестированием...",https://hh.ru/vacancy/128541838
128564024,Data Engineer,Coral Club,Москва,,"Опыт работы в роли Data инженера / ETL-инженера от 3 лет. Отличное знание SQL, умение писать и оптимизировать сложные аналитические...",https://hh.ru/vacancy/128564024
